         13818570 function calls (13376631 primitive calls) in 83.127 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 5218/564    0.029    0.000    0.861    0.002 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\pyparsing\core.py:4371(parseImpl)
     1201    0.008    0.000    0.856    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\backend_bases.py:1817(inaxes)
     1201    0.009    0.000    0.836    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\backend_bases.py:1832(<listcomp>)
     2393    0.027    0.000    0.827    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\patches.py:178(contains_point)
     4192    0.120    0.000    0.814    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\ticker.py:2100(_raw_ticks)
 2617/604    0.004    0.000    0.761    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\pyparsing\core.py:5305(parseImpl)
      700    0.017    0.000    0.757    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\spines.py:142(get_window_extent)
        1    0.014    0.014    0.700    0.700 c:\Users\carlo\OneDrive\Documentos\Poli\TCC\MedicAnalysis_v2\image_viewer.py:858(mean_over_time)
126241/105695    0.068    0.000    0.675    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\_api\deprecation.py:292(wrapper)
     2096    0.032    0.000    0.656    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\axis.py:1533(get_minorticklocs)
13608/12775    0.055    0.000    0.628    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\cbook.py:285(process)
1871/1867    0.007    0.000    0.599    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\backend_bases.py:1215(_process)
    20508    0.061    0.000    0.552    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:1482(transform)
   195128    0.547    0.000    0.547    0.000 {method 'copy' of 'numpy.ndarray' objects}
     5871    0.017    0.000    0.546    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\patches.py:306(get_transform)
     2096    0.005    0.000    0.543    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\axis.py:1529(get_majorticklocs)
     3817    0.054    0.000    0.484    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\patches.py:790(get_patch_transform)
     2701    0.012    0.000    0.468    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\patches.py:623(draw)
83365/64469    0.032    0.000    0.453    0.000 {built-in method builtins.next}
      334    0.029    0.000    0.422    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\cm.py:354(to_rgba)
      334    0.104    0.000    0.381    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\colors.py:713(__call__)
    20508    0.023    0.000    0.379    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:2425(transform_affine)
     4441    0.009    0.000    0.360    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\ticker.py:214(format_ticks)
     2408    0.013    0.000    0.357    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\path.py:502(contains_point)
     4469    0.342    0.000    0.342    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
    46663    0.341    0.000    0.341    0.000 {built-in method numpy.array}
       11    0.000    0.000    0.340    0.031 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\backends\_backend_tk.py:311(button_press_event)
     9448    0.017    0.000    0.340    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\artist.py:1226(_cm_set)
    18921    0.046    0.000    0.339    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:814(from_extents)
    94867    0.222    0.000    0.335    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\font_manager.py:645(__hash__)
     9934    0.011    0.000    0.334    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\artist.py:147(<lambda>)
    18325    0.046    0.000    0.326    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\font_manager.py:1238(findfont)
     9934    0.015    0.000    0.323    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\artist.py:1220(set)
355836/355788    0.122    0.000    0.322    0.000 {built-in method builtins.getattr}
34733/23879    0.165    0.000    0.318    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:2450(get_affine)
      334    0.177    0.001    0.316    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\colors.py:1364(__call__)
    82422    0.121    0.000    0.303    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\copy.py:66(copy)
      334    0.002    0.000    0.293    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\backends\backend_agg.py:174(draw_mathtext)
   134276    0.291    0.000    0.291    0.000 {method 'reduce' of 'numpy.ufunc' objects}
