         5335225 function calls (5159150 primitive calls) in 139.679 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       65    0.000    0.000    0.216    0.003 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\backends\backend_tkagg.py:13(blit)
       65    0.000    0.000    0.215    0.003 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\backends\_backend_tk.py:70(blit)
       65    0.000    0.000    0.214    0.003 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\backends\_backend_tk.py:56(_blit)
       65    0.212    0.003    0.212    0.003 {built-in method matplotlib.backends._tkagg.blit}
     1679    0.200    0.000    0.207    0.000 {method 'draw_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      132    0.001    0.000    0.197    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\axis.py:2188(_get_tick_boxes_siblings)
     1679    0.016    0.000    0.181    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:662(intersection)
2676/1338    0.018    0.000    0.172    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:2378(frozen)
    44/25    0.000    0.000    0.165    0.007 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\functools.py:949(__get__)
       66    0.001    0.000    0.163    0.002 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\axis.py:2403(_update_label_position)
       66    0.001    0.000    0.162    0.002 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\axis.py:2644(_update_label_position)
      844    0.002    0.000    0.161    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\ticker.py:2169(__call__)
     2385    0.020    0.000    0.156    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\lines.py:743(draw)
    68565    0.066    0.000    0.155    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:1899(__init__)
     1524    0.004    0.000    0.151    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\font_manager.py:1238(findfont)
        1    0.000    0.000    0.150    0.150 c:\Users\carlo\OneDrive\Documentos\Poli\TCC\MedicAnalysis_v2\main.py:7(__init__)
        1    0.000    0.000    0.150    0.150 c:\Users\carlo\OneDrive\Documentos\Poli\TCC\MedicAnalysis_v2\GUI.py:19(__init__)
      844    0.003    0.000    0.146    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\ticker.py:2173(tick_values)
        1    0.000    0.000    0.139    0.139 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\tifffile\tifffile.py:4628(series)
        1    0.003    0.003    0.139    0.139 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\tifffile\tifffile.py:5817(_series_ome)
    15118    0.046    0.000    0.137    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\ma\core.py:3004(__array_finalize__)
    44038    0.134    0.000    0.134    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       13    0.000    0.000    0.131    0.010 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\_mathtext.py:675(__init__)
       27    0.031    0.001    0.131    0.005 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\font_manager.py:1398(_findfont_cached)
      844    0.019    0.000    0.130    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\ticker.py:2100(_raw_ticks)
        1    0.000    0.000    0.128    0.128 c:\Users\carlo\OneDrive\Documentos\Poli\TCC\MedicAnalysis_v2\data_viewer.py:78(process_segment_data)
