11202292 function calls (10803815 primitive calls) in 198.083 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  188/118    0.001    0.000    0.353    0.003 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:534(__get__)
     47/3    0.500    0.011    0.328    0.109 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\text.py:73(_get_text_metrics_with_cache_impl)
      390    0.001    0.000    0.311    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\artist.py:348(get_tightbbox)
    13309    0.026    0.000    0.307    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:299(xmin)
     82/3    0.866    0.011    0.302    0.101 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\backends\backend_agg.py:206(get_text_width_height_descent)
     8542    0.068    0.000    0.299    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\artist.py:1188(_update_props)
382233/381792    0.128    0.000    0.292    0.000 {built-in method builtins.getattr}
      135    0.001    0.000    0.289    0.002 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\backends\backend_tkagg.py:13(blit)
      135    0.001    0.000    0.288    0.002 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\backends\_backend_tk.py:70(blit)
    12313    0.043    0.000    0.288    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:804(from_extents)
  190/139    0.003    0.000    0.286    0.002 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:428(__init__)
      135    0.001    0.000    0.284    0.002 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\backends\_backend_tk.py:56(_blit)
        3    0.000    0.000    0.281    0.094 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\tkinter\__init__.py:1784(_report_exception)
        3    0.001    0.000    0.281    0.094 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\tkinter\__init__.py:2531(report_callback_exception)
     3307    0.015    0.000    0.280    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\font_manager.py:1293(findfont)
        3    0.000    0.000    0.280    0.093 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\traceback.py:115(print_exception)
      135    0.279    0.002    0.279    0.002 {built-in method matplotlib.backends._tkagg.blit}
    44/25    0.000    0.000    0.273    0.011 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\functools.py:1023(__get__)
       75    0.011    0.000    0.271    0.004 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\__init__.py:1518(inner)
    16148    0.048    0.000    0.267    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:1832(frozen)
     6111    0.007    0.000    0.267    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\artist.py:146(<lambda>)
        3    0.000    0.000    0.265    0.088 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\traceback.py:1029(__init__)
     7535    0.007    0.000    0.262    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\artist.py:1226(_internal_update)
       44    0.001    0.000    0.259    0.006 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:845(clear)
     6111    0.009    0.000    0.259    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\artist.py:1237(set)
     1494    0.066    0.000    0.258    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\tkinter\__init__.py:1717(_substitute)
       75    0.010    0.000    0.253    0.003 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axes\_axes.py:5744(imshow)
     3420    0.015    0.000    0.251    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\ticker.py:214(format_ticks)
     1318    0.036    0.000    0.249    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\lines.py:287(__init__)
    38148    0.021    0.000    0.249    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:1782(transform)
       12    0.000    0.000    0.242    0.020 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\PIL\Image.py:3409(open)
    27874    0.057    0.000    0.241    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:2498(composite_transform_factory)
     3839    0.016    0.000    0.238    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\patches.py:934(get_bbox)
39937/33229    0.025    0.000    0.232    0.000 {built-in method builtins.next}
    39002    0.054    0.000    0.231    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:1848(transform_affine)
  460/106    0.004    0.000    0.222    0.002 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:2223(_get_tick_boxes_siblings)
    61554    0.093    0.000    0.218    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\copy.py:62(copy)
   112/79    0.001    0.000    0.218    0.003 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\pyparsing\core.py:5172(parseImpl)
       28    0.048    0.002    0.218    0.008 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\font_manager.py:1453(_findfont_cached)
   230/79    0.001    0.000    0.216    0.003 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\pyparsing\core.py:5062(parseImpl)
       30    0.001    0.000    0.215    0.007 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\_mathtext.py:675(__init__)
     1816    0.020    0.000    0.215    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:641(union)
   650170    0.158    0.000    0.215    0.000 {built-in method builtins.isinstance}
    35708    0.103    0.000    0.213    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:749(__init__)
1788/1296    0.007    0.000    0.211    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\spines.py:340(get_spine_transform)
  386/120    0.001    0.000    0.210    0.002 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\pyparsing\core.py:278(wrapper)
     1940    0.017    0.000    0.210    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:2810(get_tick_space)
   6562/1    0.054    0.000    0.209    0.209 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\text.py:926(get_window_extent)
24547/24492    0.035    0.000    0.207    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:1108(get_points)
       30    0.000    0.000    0.206    0.007 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\_mathtext.py:2196(math_string)
   163500    0.152    0.000    0.204    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:1769(__init__)
1788/1296    0.001    0.000    0.203    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\spines.py:203(_ensure_position_is_set)
    84/50    0.000    0.000    0.203    0.004 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\spines.py:300(set_position)
